TimeH,R1H,T1H,R2H,T2H,TimeI,R1I,T1I,R2I,T2I
197.0127239,9.73E-12,2.66E-05,1.01E-11,2.76E-05,194.5686362,1.16E-11,1.64E-11,1.43E-11,2.43E-11
197.9701405,9.82E-12,2.72E-05,1.04E-11,2.81E-05,195.5302174,1.08E-11,1.71E-11,1.45E-11,2.38E-11
198.9311681,9.73E-12,2.62E-05,1.06E-11,2.72E-05,196.4743745,1.10E-11,1.63E-11,1.48E-11,2.33E-11
199.8992412,1.05E-11,2.36E-05,1.16E-11,2.73E-05,197.435832,1.14E-11,1.66E-11,1.44E-11,2.39E-11
200.8605621,1.09E-11,2.39E-05,1.10E-11,2.78E-05,198.386688,1.19E-11,1.54E-11,1.36E-11,2.44E-11
201.8476822,1.03E-11,2.54E-05,1.11E-11,2.81E-05,199.3604643,1.18E-11,1.35E-11,1.42E-11,2.51E-11
202.8450902,1.15E-11,2.65E-05,1.15E-11,2.72E-05,200.343569,1.05E-11,1.48E-11,1.47E-11,2.49E-11
203.8022494,1.08E-11,2.73E-05,9.72E-12,2.77E-05,201.3052683,1.07E-11,1.58E-11,1.48E-11,2.41E-11
204.7736287,1.14E-11,2.84E-05,1.08E-11,2.69E-05,202.267756,1.12E-11,1.54E-11,1.49E-11,2.36E-11
205.7545633,1.10E-11,2.53E-05,1.15E-11,2.77E-05,203.2301548,1.11E-11,1.71E-11,1.41E-11,2.40E-11
206.7211576,1.05E-11,2.43E-05,1.14E-11,2.71E-05,204.2210746,1.11E-11,1.63E-11,1.37E-11,2.41E-11
207.6991394,1.04E-11,2.41E-05,1.01E-11,2.70E-05,205.1635308,1.09E-11,1.60E-11,1.49E-11,2.42E-11
208.6763039,1.11E-11,2.47E-05,9.75E-12,2.73E-05,206.1562817,1.05E-11,1.76E-11,1.48E-11,2.50E-11
209.6841846,1.07E-11,2.66E-05,9.97E-12,2.72E-05,207.127794,1.18E-11,1.55E-11,1.42E-11,2.45E-11
210.6526279,1.13E-11,2.74E-05,1.21E-11,2.72E-05,208.1192842,1.14E-11,1.57E-11,1.42E-11,2.42E-11
211.609576,1.11E-11,2.53E-05,1.16E-11,2.73E-05,209.0725143,1.11E-11,1.46E-11,1.47E-11,2.45E-11
212.5700839,1.08E-11,2.60E-05,1.13E-11,2.81E-05,210.054354,1.09E-11,1.47E-11,1.46E-11,2.49E-11
213.5475304,1.08E-11,2.45E-05,1.19E-11,2.71E-05,211.0065837,1.08E-11,1.49E-11,1.40E-11,2.49E-11
214.4988227,1.14E-11,2.66E-05,1.21E-11,2.81E-05,211.9880939,1.14E-11,1.51E-11,1.46E-11,2.51E-11
